# Multipolar energy analysis (kT)
# r/AA             exact       total      ionion      iondip      dipdip     ionquad     mucorr
56.2               7.891       7.891       7.978     -0.0844    0.000188   -0.002609   -0.002594
56.4               7.867       7.868        7.95    -0.07927  -0.0001233   -0.002236   -0.002731
56.6                7.84        7.84       7.922    -0.07866  -0.0003763   -0.002091   -0.001647
56.8               7.812       7.814       7.894    -0.07759   0.0001825   -0.002686   -0.001858
57                 7.786       7.788       7.866      -0.077   0.0001957   -0.001667   -0.001677
57.2               7.766       7.767       7.839    -0.06956    -0.00038   -0.001896    0.004829
57.4               7.736       7.737       7.811    -0.07058  -8.612e-05   -0.003621   -0.002978
57.6               7.711       7.713       7.784    -0.06882  -4.895e-06   -0.002337   -0.002391
57.8               7.687       7.687       7.757    -0.06707  -0.0003783   -0.002339    0.005864
58                 7.658        7.66        7.73    -0.06843   -5.16e-05   -0.002251   -0.001752
58.2               7.633       7.634       7.704    -0.06797   3.697e-05   -0.001924    0.005958
58.4                7.61       7.611       7.677     -0.0635  -0.0001137   -0.002311    0.001861
58.6               7.588       7.589       7.651    -0.06067   -5.69e-05   -0.002017    0.003068
58.8                7.56       7.561       7.625    -0.06164  -2.356e-05   -0.002044    -0.00464
59                 7.537       7.537       7.599    -0.05973   9.071e-07   -0.002262   -0.001683
59.2               7.515       7.515       7.574    -0.05636  -0.0001133   -0.001823    0.002244
59.4               7.492       7.493       7.548    -0.05339  -0.0001119   -0.001501    0.004193
59.6               7.463       7.464       7.523     -0.0568   9.311e-05   -0.001763     0.00301
59.8               7.439       7.439       7.498    -0.05672  -0.0001274   -0.001705    0.003287
60                 7.418       7.418       7.473    -0.05273   -0.000113   -0.001529   -0.002921
60.2               7.391       7.392       7.448    -0.05392  -0.0001337   -0.001933    0.007061
60.4                7.37       7.371       7.423    -0.05159    0.000185   -0.001344   -0.004534
60.6               7.341       7.342       7.399    -0.05493   4.107e-05   -0.001669    0.005256
60.8               7.327       7.327       7.374    -0.04547  -0.0003177   -0.001231    0.001872
61                 7.304       7.304        7.35     -0.0451  -5.017e-06  -0.0009128    0.004054
61.2                7.28        7.28       7.326    -0.04445   1.872e-05   -0.001377    0.002393
61.4               7.254       7.254       7.302    -0.04625  -0.0002345   -0.001476    0.002246
61.6               7.237       7.237       7.279    -0.03982  -0.0001966   -0.001524    0.002745
61.8               7.209        7.21       7.255    -0.04402   0.0001822    -0.00159    0.002044
62                 7.189        7.19       7.232    -0.04033  -0.0002461   -0.001136  -0.0007209
62.2               7.167       7.167       7.208    -0.03985   -0.000182   -0.000931    0.003743
62.4               7.141       7.141       7.185     -0.0427   2.867e-05   -0.001166    0.001239
62.6               7.121       7.121       7.162    -0.04044   0.0001087   -0.001221    0.008769
62.8               7.099       7.099        7.14    -0.03941  -3.861e-05   -0.000888   -0.002302
63                 7.074       7.075       7.117    -0.04071   8.434e-06   -0.001544  -0.0008769
63.2               7.055       7.055       7.094    -0.03791  -0.0003159    -0.00102    0.006913
63.4               7.029       7.029       7.072    -0.04156   0.0001418   -0.001112    0.004794
63.6               7.014       7.014        7.05    -0.03407  -0.0002045   -0.001036    0.001675
63.8               6.989       6.989       7.028    -0.03697  -0.0001929  -0.0009991    0.003289
64                 6.971       6.971       7.006    -0.03347  -5.559e-05   -0.000692   -0.002947
64.2               6.948       6.948       6.984    -0.03408  -0.0001348   -0.001123    0.007761
64.4               6.928       6.928       6.962    -0.03319   8.198e-05  -0.0008079    0.009681
64.6                6.91        6.91       6.941     -0.0298  -8.095e-05  -0.0006117    0.002485
64.8               6.888       6.888       6.919    -0.03019   -1.02e-05  -0.0005469    0.002227
65                 6.863       6.864       6.898     -0.0332  -0.0001231  -0.0007939    0.004329
65.2                6.84        6.84       6.877    -0.03516  -0.0001838  -0.0009745    0.001127
65.4               6.826       6.826       6.856    -0.02907  -0.0003023  -0.0004048    0.007581
65.6               6.806       6.806       6.835    -0.02738  -0.0003107  -0.0009146   0.0001587
65.8               6.785       6.786       6.814     -0.0271  -0.0002862  -0.0006414    0.006353
66                 6.764       6.764       6.793    -0.02873   3.899e-05   -0.000819    0.003539
66.2               6.748       6.749       6.773    -0.02345  -0.0002302  -0.0005932    -0.00207
66.4               6.725       6.725       6.752    -0.02615  -0.0002393  -0.0008293    0.003784
66.6               6.704       6.704       6.732    -0.02711  -7.847e-05  -0.0007027   -0.002476
66.8               6.684       6.684       6.712    -0.02712  -5.795e-05  -0.0007353   0.0008037
67                 6.665       6.665       6.692    -0.02611  -0.0001824  -0.0006333   -0.001875
67.2               6.645       6.645       6.672    -0.02691  -0.0001051  -0.0001782    0.001764
67.4               6.627       6.627       6.652    -0.02495  -2.995e-05  -0.0004468   -0.001707
67.6               6.609       6.609       6.633    -0.02327   -0.000114  -0.0006556   -0.001471
67.8               6.589        6.59       6.613    -0.02342   6.258e-05  -0.0002144    0.000225
68                 6.568       6.569       6.594    -0.02461  -4.344e-05  -0.0004342   0.0003676
68.2               6.553       6.553       6.574    -0.02085  -9.835e-05  -0.0002549    0.002237
