# Multipolar energy analysis (kT)
# r/AA             exact       total      ionion      iondip      dipdip     ionquad     mucorr
35.2               3.458       3.461       12.73      -2.898      -6.374  -1.744e-12      0.1412
35.4               3.401       3.404       12.66      -2.944      -6.315  -1.857e-12      0.3603
35.6                4.42       4.422       12.59      -1.415      -6.755   -1.42e-12      0.2757
35.8               3.613       3.616       12.52      -1.754      -7.151  -1.098e-12      0.4647
36                 3.843       3.845       12.45      -1.889      -6.716   -9.33e-13      0.4939
36.2               4.138        4.14       12.38      -1.858      -6.385  -7.715e-13      0.4046
36.4               4.254       4.256       12.31      -2.214      -5.844  -9.836e-13      0.3984
36.6               4.149       4.152       12.25      -2.137      -5.962  -8.666e-13      0.3747
36.8               4.375       4.377       12.18      -2.274      -5.531  -1.073e-12      0.4186
37                 4.463       4.465       12.12      -2.365      -5.287  -8.923e-13      0.3651
37.2               4.597       4.599       12.05      -2.368      -5.085  -8.745e-13      0.3613
37.4                4.64       4.642       11.99      -2.347      -4.998  -8.812e-13      0.3541
37.6               4.762       4.764       11.92      -2.416      -4.742  -7.571e-13      0.3352
37.8               4.838        4.84       11.86      -2.389      -4.632  -7.795e-13      0.3244
38                  4.93       4.931        11.8      -2.454      -4.413  -7.012e-13      0.3114
38.2               4.991       4.992       11.74      -2.418      -4.326  -6.872e-13      0.3073
38.4               5.094       5.096       11.68      -2.433      -4.147  -6.852e-13      0.3065
38.6               5.144       5.146       11.61      -2.478      -3.991  -6.387e-13      0.2958
38.8               5.201       5.202       11.56      -2.452      -3.901  -6.337e-13      0.2828
39                 5.313       5.314        11.5       -2.45      -3.732  -5.525e-13        0.28
39.2               5.342       5.343       11.44      -2.463      -3.631  -5.622e-13      0.2684
39.4                5.39       5.391       11.38       -2.49      -3.498  -5.206e-13      0.2508
39.6                5.46       5.461       11.32      -2.472      -3.389  -5.201e-13       0.253
39.8               5.571       5.572       11.26      -2.478      -3.215  -4.693e-13      0.2386
40                 5.605       5.605       11.21      -2.485      -3.118  -4.614e-13      0.2351
40.2               5.667       5.667       11.15      -2.499      -2.987  -4.326e-13      0.2213
