# Multipolar energy analysis (kT)
# r/AA             exact       total      ionion      iondip      dipdip     ionquad     mucorr
40.2               8.515       9.045       11.18      -2.111      0.2047     -0.2256     -0.7804
40.4               9.542       10.19       11.09      -1.029     0.05547     0.06964   -0.005499
40.6               8.819       9.203       11.03      -1.683      0.1034     -0.2497     -0.7402
40.8                10.4       10.73       10.98     -0.2597    -0.02236     0.03465      0.1222
41                 10.01       10.18       10.93     -0.7668      0.0305    -0.01397     -0.2258
41.2               9.814       10.16       10.88     -0.7729     0.02654     0.02311     -0.0934
41.4               9.774       10.09       10.83     -0.7362     0.01719    -0.01416     -0.1323
41.6               9.981       10.23       10.77     -0.5348    0.003748    -0.01613     -0.0891
41.8               9.911       10.18       10.72     -0.5254    0.008446    -0.03151    -0.09709
42                 9.952       10.18       10.67     -0.4943     0.01038    -0.01179    -0.04358
42.2               9.889       10.14       10.62      -0.482    0.008406    -0.01278    -0.05068
42.4               9.917       10.11       10.57     -0.4425    0.003774    -0.01963    -0.03457
42.6               9.844       10.05       10.52     -0.4573    0.004443    -0.01926    -0.02657
42.8               9.831          10       10.48     -0.4603      0.0069    -0.01714    -0.05758
43                 9.837          10       10.43     -0.4054   0.0009914    -0.01921    -0.03022
43.2               9.791        9.95       10.38     -0.4173     0.00408    -0.01462    -0.03386
43.4               9.796       9.932       10.33     -0.3873     0.00471    -0.01623    -0.04506
43.6               9.755       9.876       10.28     -0.3962    0.004333    -0.01574    -0.03256
43.8               9.759       9.868       10.24     -0.3581    0.002558    -0.01295    -0.02066
44                 9.723        9.82       10.19     -0.3535    0.001993    -0.01868    -0.04396
44.2                 9.7       9.782       10.14     -0.3558    0.004417     -0.0107    -0.03154
44.4               9.651       9.726        10.1     -0.3579    0.001448    -0.01559    -0.03435
44.6               9.651       9.713       10.05     -0.3281    0.001964    -0.01416    -0.03065
44.8               9.617       9.678       10.01     -0.3178    0.001525    -0.01411    -0.03478
45                 9.591       9.637       9.964     -0.3158    0.002951    -0.01385    -0.02572
45.2               9.544       9.582        9.92     -0.3271    0.002904    -0.01365    -0.02114
45.4               9.525       9.567       9.876     -0.2977    0.001207    -0.01275    -0.02077
45.6               9.497       9.528       9.833      -0.298    0.003498    -0.01061    -0.01548
45.8               9.473       9.499        9.79     -0.2812   0.0008806   -0.009978    -0.03325
46                 9.437        9.46       9.747     -0.2811    0.002516   -0.008592    -0.01882
46.2               9.382       9.401       9.705     -0.2941    0.003132    -0.01275    -0.02073
46.4               9.374       9.393       9.663     -0.2628   0.0009903    -0.00779   -0.004356
46.6               9.322       9.342       9.622     -0.2725    0.002072    -0.00976    -0.02241
46.8               9.293        9.31       9.581     -0.2619    0.001924    -0.01049    -0.02205
47                 9.256       9.271        9.54     -0.2593    0.001227    -0.01013    -0.01942
47.2               9.227       9.243       9.499     -0.2504    0.002055   -0.008035    -0.01565
47.4               9.203       9.215       9.459     -0.2341    0.000583    -0.01006    -0.02599
47.6               9.177       9.188       9.419      -0.223   0.0008268   -0.009311    -0.01118
47.8               9.125       9.135        9.38     -0.2378    0.001061   -0.008267     -0.0143
48                   9.1        9.11       9.341     -0.2251    0.001552    -0.00752   -0.007376
48.2               9.066       9.076       9.302     -0.2188    0.001195   -0.008698     -0.0157
48.4               9.048       9.058       9.264     -0.1967  -0.0003591   -0.008965   -0.004828
48.6               9.012        9.02       9.225     -0.1974   3.946e-05    -0.00775    -0.01226
48.8               8.962       8.968       9.188     -0.2121   0.0007574   -0.008129    -0.01425
49                 8.942       8.951        9.15     -0.1947   0.0002394   -0.005275   -0.001084
49.2               8.909       8.915       9.113     -0.1911   0.0005523   -0.007448    -0.01117
49.4               8.874        8.88       9.076     -0.1914   0.0004941    -0.00558    -0.00863
49.6               8.838       8.844       9.039     -0.1881    0.000427   -0.007776    -0.01098
49.8               8.811       8.815       9.003     -0.1817   0.0002768   -0.007046    -0.01311
50                 8.775        8.78       8.967     -0.1826   0.0009346   -0.005563   -0.009086
50.2               8.756       8.759       8.931     -0.1671   0.0003751   -0.005437   -0.009805
50.4               8.712       8.717       8.896     -0.1739   0.0003572   -0.005793    -0.01305
50.6               8.687       8.692       8.861     -0.1637   -0.000165   -0.004705   -0.007394
50.8               8.658       8.662       8.826     -0.1585  -0.0001558   -0.005203   -0.001048
51                  8.62       8.624       8.791      -0.162  -0.0001545   -0.005601   -0.007827
51.2               8.588       8.592       8.757     -0.1608   0.0001298   -0.004488   -0.002981
51.4               8.557        8.56       8.723     -0.1571   -0.000153   -0.006122    0.001708
51.6               8.535       8.538       8.689     -0.1469  -0.0001514   -0.004127    -0.01033
51.8               8.502       8.505       8.656     -0.1463   0.0004477   -0.004353    0.002099
52                 8.482       8.485       8.622     -0.1337   0.0001985   -0.004208   -0.007945
52.2               8.444       8.447       8.589     -0.1384  -1.294e-05   -0.004128  -0.0009613
52.4               8.425       8.428       8.557     -0.1249  -0.0005228   -0.003067  -7.285e-05
52.6               8.385       8.388       8.524     -0.1329  -1.323e-05   -0.003158   -0.002972
52.8               8.356       8.358       8.492     -0.1296   0.0004543   -0.004489   -0.002586
53                 8.327       8.329        8.46     -0.1283   0.0004192   -0.003117  -0.0005482
53.2               8.295       8.297       8.428     -0.1267   9.263e-05    -0.00377    -0.01087
53.4               8.276       8.279       8.396     -0.1144  -6.582e-05   -0.003015    -0.01352
53.6               8.246       8.247       8.365     -0.1151   0.0002809   -0.002718   -0.004346
53.8               8.211       8.213       8.334     -0.1166   0.0001277   -0.004192   -0.001067
54                 8.189        8.19       8.303     -0.1096    0.000148   -0.003153   -0.005117
54.2               8.156       8.158       8.272     -0.1104  -0.0003456   -0.003328   -0.006127
54.4                8.13       8.132       8.242      -0.107   5.185e-05   -0.003275   0.0006806
54.6               8.098         8.1       8.212     -0.1087   2.005e-05   -0.002889   -0.002578
54.8               8.077       8.079       8.182    -0.09979   -0.000338   -0.002937   -0.001144
55                 8.044       8.046       8.152     -0.1029  -0.0001757   -0.003197   0.0004762
55.2               8.019       8.021       8.123    -0.09875  -0.0002443   -0.003001      -0.012
55.4               7.999           8       8.093    -0.09116   0.0003429    -0.00218    -0.01118
55.6               7.965       7.967       8.064    -0.09392  -0.0005116   -0.002904   -0.001935
55.8               7.941       7.942       8.035    -0.09046  -0.0001495   -0.002735   -0.006522
56                 7.911       7.912       8.007    -0.09303  -7.386e-05   -0.001747   -0.002015
56.2               7.884       7.885       7.978    -0.09099   0.0002163   -0.002608   -0.008168
56.4                7.86       7.861        7.95    -0.08629  -0.0004184   -0.002016   -0.009084
56.6               7.827       7.828       7.922    -0.09114  -0.0002697   -0.001859   -0.004386
56.8               7.809       7.809       7.894    -0.08124  -0.0003009    -0.00282    0.005872
57                 7.779        7.78       7.866    -0.08353   -0.000383   -0.002062   -0.001661
57.2               7.757       7.759       7.838    -0.07809  -0.0001412   -0.001538    0.001354
57.4               7.729        7.73       7.811    -0.07888  -0.0003555   -0.001652    0.001397
57.6               7.703       7.704       7.784    -0.07783  -0.0003385   -0.001975   -0.005362
57.8                7.68       7.682       7.757    -0.07406   0.0001079   -0.001559   0.0001908
