# Multipolar energy analysis (kT)
# r/AA             exact       total      ionion      iondip      dipdip     ionquad     mucorr
40.2               9.936       10.38       11.13     -0.7547     0.00348    5.77e-05    -0.07496
40.4               11.24       11.59       11.09      0.5214    -0.05216     0.03061      0.2561
40.6                  11       11.19       11.04     0.03922    -0.01256      0.1289     0.08002
40.8               11.05       11.14       10.99      0.1483    -0.01545     0.01594     0.03783
41                 10.84       10.95       10.93    -0.03816     0.01062     0.04572     -0.1055
41.2               10.79       10.85       10.88    -0.03589    -0.01128     0.02058    0.005765
41.4               10.68       10.88       10.83     0.03983    0.001355     0.01012     0.01088
41.6                10.7       10.82       10.77     0.02946     0.00489     0.01359   -0.007304
41.8               10.63       10.76       10.72     0.01715    0.001729     0.01652     0.02833
42                 10.63       10.73       10.67     0.05464    -0.00211    0.007391     0.01189
42.2               10.59       10.67       10.62     0.04096   0.0008321    0.004502   -0.009844
42.4               10.58       10.66       10.57     0.08128   5.142e-06    0.006184   -0.002298
42.6                10.5       10.59       10.52     0.05819     0.00165    0.005297   -0.004753
42.8               10.47       10.54       10.48     0.05217   0.0003011     0.01122   -0.002497
43                 10.43       10.49       10.43     0.05697   0.0007189    0.004337    -0.01422
43.2                10.4       10.45       10.38     0.07187  -0.0002996    0.005228    0.003747
43.4               10.35       10.39       10.33     0.05382  -7.097e-05    0.006034    0.006681
43.6               10.33       10.37       10.28     0.08283   0.0007977    0.002937    -0.00588
43.8               10.27       10.31       10.24     0.07127    0.001022    0.002422   -0.005509
44                 10.23       10.26       10.19     0.06787   0.0006904    0.003175    -0.01702
44.2               10.19       10.21       10.14     0.06252   0.0008256    0.005448   -0.006741
44.4               10.15       10.17        10.1     0.06546  -0.0002003    0.002404   -0.004618
44.6                10.1       10.11       10.05     0.05458   7.309e-05    0.003829    -0.01267
44.8               10.04       10.05       10.01     0.03553   4.346e-05    0.002549    0.007191
45                 10.01       10.02       9.964     0.05288  -0.0002928    0.003124   -0.004764
45.2               9.969       9.975       9.919     0.04998  -8.502e-05    0.005643    -0.01132
45.4               9.916       9.921       9.876     0.04136   -0.001071    0.005114    -0.00387
45.6               9.866       9.875       9.833     0.03944  -0.0008558     0.00345   -0.008318
45.8               9.827       9.829        9.79     0.03812  -0.0008535    0.002469    0.005021
46                 9.758       9.761       9.747     0.01209   -0.001006    0.003086   -0.008039
46.2               9.732       9.734       9.705     0.02642   0.0001251    0.002365    0.004298
46.4               9.696       9.698       9.663      0.0362   -0.001192   -4.59e-05   -0.005992
46.6               9.647       9.648       9.622     0.02412  -0.0001923    0.002756    -0.01003
46.8               9.594       9.593        9.58     0.01282  -0.0003517   7.338e-05    0.009388
47                 9.568       9.569        9.54     0.02877   0.0004227  -0.0002102   -0.001219
47.2               9.518       9.518       9.499     0.01836    0.000789  -0.0005534  -0.0005757
47.4               9.471       9.472       9.459     0.01399  -0.0004039   -0.001043   -0.003796
47.6               9.426       9.426       9.419    0.004848   0.0002235    0.001306    0.004086
47.8               9.395       9.395        9.38     0.01297   0.0005388    0.001737   -0.004696
48                 9.349       9.349       9.341    0.008755   0.0001366   -0.000385    0.007776
48.2               9.325       9.325       9.302     0.01999   0.0003164    0.002723   -0.008491
48.4               9.261        9.26       9.264   -0.004578  -0.0002172   0.0007971   0.0001277
48.6               9.237       9.238       9.226     0.01116  -0.0004139    0.001208   0.0002483
48.8               9.191       9.191       9.188    0.002779  -0.0006921    0.001167  -0.0003222
49                 9.157       9.156        9.15    0.005976   8.724e-05  -0.0001014    -0.01195
49.2               9.133       9.132       9.113     0.01842    0.001115  -0.0002888   -0.002484
49.4               9.086       9.084       9.076    0.007376   0.0004363   0.0003281    -0.01216
49.6               9.052       9.051        9.04     0.01122  -0.0007287    0.001071   -0.006312
49.8               9.019        9.02       9.003     0.01457   0.0004676    0.001697    0.001533
50                 8.975       8.974       8.967     0.00518    0.000476   0.0008863   -0.005084
50.2               8.941       8.941       8.932    0.008694    0.000924  -0.0002286    0.004912
50.4               8.904       8.903       8.896    0.005744   0.0007549   0.0001175    0.005911
50.6               8.855       8.855       8.861   -0.005411  -0.0009596    0.000412   -0.002789
50.8               8.833       8.834       8.826    0.008232   -0.000172   -0.000153    0.009584
51                   8.8         8.8       8.791    0.008251   0.0002295   0.0003586   0.0002344
51.2               8.756       8.756       8.757   -0.001422   0.0001945   0.0005737   -0.001468
51.4               8.726       8.726       8.723     0.00233   7.637e-05    0.000448    0.002342
51.6               8.684       8.684       8.689   -0.004752   0.0004273  -0.0009938   -0.004091
51.8               8.653       8.654       8.656   -0.001592  -0.0001994  -7.299e-05   -0.009346
52                 8.621       8.622       8.622  -0.0005975   0.0001763  -0.0002151   -0.002808
52.2                8.59       8.591       8.589    0.001279   0.0008537  -0.0008513   -0.006508
52.4               8.556       8.557       8.557   -0.001412   0.0005628     0.00103    0.008777
52.6               8.514       8.514       8.524   -0.009067  -0.0001823  -0.0003521    0.001222
52.8               8.479       8.479       8.492    -0.01172  -0.0003509   -0.000914   -0.004241
53                 8.467       8.468        8.46    0.009485   0.0002819   -0.001264   0.0008718
53.2               8.424       8.424       8.428   -0.003388  -0.0005217  -0.0003241     -0.0156
