# Multipolar energy analysis (kT)
# r/AA             exact       total      ionion      iondip      dipdip     ionquad     mucorr
39.6              -6.031       3.534        11.3      -5.738      -1.291     -0.7382     -0.2945
39.8               -0.75       3.559       11.25      -6.731      0.1313      -1.095     -0.4364
40                -3.872       3.951        11.2       -5.22      -1.175     -0.8566     -0.1237
40.2              -3.312        3.82       11.15      -5.014      -1.249      -1.063    -0.06842
40.4              -3.295       3.738       11.09      -4.752       -1.55      -1.053    -0.01652
40.6              -3.054       3.722       11.04      -4.731      -1.458      -1.126    0.005717
40.8               -3.05         3.7       10.99      -4.657      -1.496      -1.133     0.01798
41                -2.785       3.683       10.93      -4.436      -1.614        -1.2     0.07161
41.2              -2.516       3.682       10.88       -4.37       -1.61      -1.218     0.08674
41.4              -2.335       3.701       10.83      -4.283      -1.615      -1.229      0.1051
41.6              -2.115       3.698       10.78      -4.219      -1.605      -1.254      0.1209
41.8              -1.918       3.716       10.72      -4.174      -1.585      -1.251      0.1242
42                -1.669       3.721       10.67      -4.066      -1.614      -1.273       0.142
42.2              -1.467       3.727       10.62      -4.029      -1.597      -1.272      0.1415
42.4              -1.269       3.755       10.57      -3.988      -1.562      -1.268      0.1434
42.6              -1.039       3.778       10.52      -3.923      -1.556      -1.268      0.1491
42.8             -0.8107       3.804       10.48      -3.862      -1.545      -1.265       0.153
43               -0.6184       3.832       10.43      -3.804      -1.533      -1.258      0.1571
43.2              -0.409        3.87       10.38      -3.759      -1.507      -1.243      0.1571
43.4             -0.1975         3.9       10.33      -3.683      -1.509      -1.239      0.1655
43.6             0.02407        3.94       10.28      -3.632       -1.49      -1.222      0.1612
43.8              0.2286       3.973       10.24      -3.566      -1.483      -1.215      0.1666
44                0.4321       4.017       10.19      -3.519      -1.457      -1.197      0.1631
44.2              0.6441        4.06       10.14      -3.451       -1.45      -1.183       0.166
44.4               0.849       4.105        10.1      -3.391      -1.431      -1.172      0.1684
44.6               1.048       4.159       10.05      -3.329      -1.417      -1.148      0.1686
44.8               1.248       4.209       10.01      -3.273        -1.4      -1.126      0.1669
45                 1.425       4.265       9.964      -3.225       -1.37      -1.103      0.1655
45.2               1.623       4.332        9.92      -3.171      -1.342      -1.074      0.1621
