# Multipolar energy analysis (kT)
# r/AA             exact       total      ionion      iondip      dipdip     ionquad     mucorr
39.4              -6.384       2.953       11.36      -7.781      0.3919      -1.021      -0.904
39.6              -7.134       2.919       11.32      -7.347      -0.123     -0.9313     -0.9113
39.8              -5.112       3.198       11.26       -6.98      -0.228     -0.8567     -0.6982
40                -5.092       3.057        11.2      -6.807     -0.2446      -1.095     -0.5725
40.2              -4.985       3.212       11.15      -6.547     -0.4047      -0.985     -0.5316
40.4              -4.875       3.247       11.09      -6.215      -0.632     -0.9988     -0.4538
40.6              -4.536       3.279       11.04      -5.864     -0.8843      -1.012     -0.3708
40.8              -4.333       3.313       10.99       -5.66      -0.997      -1.015     -0.3154
41                -4.029       3.342       10.93      -5.398      -1.142      -1.052     -0.2422
41.2               -3.74        3.37       10.88      -5.247      -1.183      -1.081     -0.1974
41.4              -3.493       3.364       10.83      -5.106      -1.248       -1.11     -0.1638
41.6              -3.242        3.38       10.78      -4.968      -1.292      -1.135     -0.1287
41.8              -2.969       3.389       10.73      -4.846      -1.328      -1.162      -0.101
42                -2.739         3.4       10.67      -4.748      -1.352      -1.174    -0.08255
42.2              -2.505       3.422       10.62      -4.649      -1.368      -1.185    -0.06282
42.4              -2.276        3.44       10.57      -4.568      -1.374      -1.192     -0.0496
42.6              -2.058       3.454       10.52      -4.486      -1.385      -1.199    -0.03638
42.8              -1.845       3.476       10.48      -4.408      -1.389      -1.202    -0.02467
43                -1.638       3.496       10.43      -4.337      -1.389      -1.205    -0.01375
43.2              -1.429       3.514       10.38       -4.27      -1.389      -1.205   -0.006988
43.4              -1.232       3.537       10.33      -4.199      -1.393      -1.202   0.0006179
43.6              -1.026        3.56       10.28      -4.128      -1.397      -1.199    0.006206
43.8             -0.8423        3.58       10.24      -4.071      -1.391      -1.195     0.01179
44               -0.6434       3.605       10.19      -4.009      -1.384      -1.193     0.01836
44.2             -0.4678       3.628       10.14      -3.952      -1.382      -1.183     0.01997
44.4             -0.2898       3.657        10.1      -3.898       -1.37      -1.174      0.0232
44.6             -0.1168       3.683       10.05      -3.842      -1.364      -1.164     0.02602
44.8             0.05472       3.711       10.01      -3.784      -1.357      -1.156     0.03038
45                0.2105       3.733       9.964      -3.728      -1.354      -1.149     0.03432
45.2              0.3655       3.758        9.92      -3.677      -1.344      -1.141     0.03669
45.4              0.5061       3.785       9.876      -3.628      -1.334       -1.13     0.03859
45.6              0.6514       3.815       9.833      -3.575      -1.326      -1.116     0.04157
45.8              0.7823       3.839        9.79      -3.533      -1.312      -1.106     0.04237
46                0.9163       3.868       9.747      -3.483      -1.303      -1.094       0.046
46.2               1.051       3.893       9.705      -3.437      -1.292      -1.084     0.04691
46.4               1.169       3.917       9.663      -3.386      -1.285      -1.076      0.0527
46.6               1.296       3.953       9.622      -3.344      -1.268      -1.057     0.05256
46.8               1.406       3.977       9.581      -3.303      -1.258      -1.042      0.0528
47                 1.501       3.999        9.54      -3.271      -1.237      -1.033     0.05565
47.2               1.624       4.031         9.5      -3.217      -1.237      -1.014     0.05411
47.4               1.728       4.053       9.459      -3.188      -1.212      -1.007      0.0575
47.6               1.832       4.083        9.42      -3.134       -1.21     -0.9923     0.05927
47.8               1.929       4.115        9.38      -3.104      -1.186     -0.9744     0.05833
48                  2.02       4.135       9.341      -3.066      -1.174     -0.9662     0.06322
48.2               2.106       4.165       9.302      -3.021       -1.17     -0.9471     0.06318
48.4               2.186       4.183       9.264       -2.99      -1.153      -0.938     0.06418
48.6               2.291       4.213       9.226      -2.951      -1.136      -0.926     0.06367
48.8               2.366       4.238       9.188      -2.937      -1.109     -0.9038     0.05825
49                 2.465       4.275       9.151      -2.876      -1.111     -0.8892     0.06369
49.2               2.536        4.29       9.113      -2.829      -1.111     -0.8835     0.06892
49.4               2.622       4.322       9.076      -2.818      -1.073     -0.8628     0.06171
49.6               2.699       4.345        9.04      -2.792      -1.052     -0.8501     0.06297
49.8               2.762       4.354       9.003      -2.747      -1.053     -0.8489     0.06667
50                 2.839        4.39       8.967      -2.731      -1.022     -0.8237     0.06286
50.2               2.904       4.419       8.932      -2.699      -1.003     -0.8101     0.05992
50.4               2.985        4.45       8.896       -2.66     -0.9986     -0.7882     0.06402
50.6               3.045       4.457       8.861       -2.61      -1.002     -0.7913     0.07137
50.8               3.151       4.514       8.826      -2.599      -0.957     -0.7557     0.05946
51                 3.198       4.534       8.791      -2.559     -0.9504     -0.7481     0.06332
51.2               3.259       4.544       8.757      -2.551     -0.9221       -0.74     0.06273
51.4               3.297       4.561       8.723      -2.517     -0.9192      -0.726     0.06294
51.6               3.355       4.577       8.689      -2.486     -0.9109     -0.7158     0.06173
51.8               3.414       4.593       8.656      -2.459     -0.9014     -0.7026     0.05959
52                 3.463       4.618       8.623      -2.423     -0.8902     -0.6913     0.06144
52.2               3.543        4.65        8.59      -2.393     -0.8699     -0.6766     0.05986
52.4               3.593        4.68       8.557      -2.355     -0.8671     -0.6543     0.05908
52.6               3.664       4.708       8.524      -2.338     -0.8336     -0.6438     0.05821
52.8               3.705       4.726       8.492      -2.312     -0.8251     -0.6292     0.05878
53                 3.778       4.774        8.46      -2.278     -0.7975     -0.6108     0.05902
53.2               3.822       4.783       8.428      -2.259     -0.7872     -0.5988     0.05464
53.4               3.847       4.789       8.396      -2.262     -0.7582     -0.5867     0.04973
53.6               3.905       4.816       8.365      -2.225     -0.7535     -0.5706     0.04982
53.8               3.959       4.837       8.334      -2.175     -0.7555     -0.5667     0.05559
54                 4.033        4.87       8.303       -2.14     -0.7282     -0.5645      0.0622
54.2               4.029       4.856       8.272      -2.148     -0.7174     -0.5517     0.05399
