# Multipolar energy analysis (kT)
# r/AA             exact       total      ionion      iondip      dipdip     ionquad     mucorr
39.4               -8.11       2.507        11.4      -7.575    -0.04126      -1.276     -0.9508
39.8              -7.515       3.273       11.28      -6.839     -0.6317     -0.5334     -0.9541
40                -3.046       1.447       11.19      -9.526       2.713      -2.933     -0.8139
40.2              -3.785        3.05       11.15      -7.528      0.5621      -1.136     -0.7036
40.4               -2.22       3.506       11.09      -6.377     0.09648      -1.301     -0.2717
40.6              -2.935       3.403       11.04       -5.76     -0.6632      -1.209     -0.2168
40.8              -3.002       3.497       10.99      -5.651      -0.737      -1.102     -0.2075
41                -1.988        3.27       10.93      -5.658     -0.5137       -1.49     -0.1627
41.2              -2.158       3.356       10.88      -6.038      -0.167      -1.317     -0.2376
41.4              -1.531       3.368       10.83      -5.397     -0.6301      -1.433    -0.09175
41.6              -1.092       3.396       10.78      -5.345     -0.6293      -1.407     -0.1034
41.8               -0.64       3.428       10.72      -5.417     -0.3949      -1.484    -0.08736
42               -0.4431       3.451       10.67      -5.351     -0.4057      -1.467    -0.08992
42.2              0.1136       3.431       10.62      -5.423     -0.2368      -1.533     -0.1027
42.4                0.18       3.466       10.57      -5.373     -0.2346        -1.5    -0.09236
42.6              0.3481        3.45       10.52      -5.359     -0.2082      -1.507     -0.1068
42.8              0.6375       3.507       10.48      -5.211      -0.244      -1.514    -0.08053
43                0.8849       3.495       10.43       -5.26     -0.1696      -1.502     -0.1069
43.2              0.9332       3.511       10.38       -4.98     -0.3865      -1.501    -0.07242
43.4               1.216       3.591       10.33      -5.124     -0.1581      -1.458    -0.09299
43.6               1.508       3.574       10.28      -5.132      -0.099      -1.478     -0.1048
43.8               1.673        3.58       10.24      -5.079    -0.08807       -1.49     -0.1033
44                 1.852       3.604       10.19      -4.936      -0.175      -1.475    -0.09727
44.2               1.919       3.768       10.14      -4.829      -0.183      -1.365    -0.08868
44.4               2.151       3.802        10.1       -4.86    -0.07916      -1.358    -0.09356
44.6               2.223       3.813       10.05       -4.81    -0.08439      -1.346     -0.1013
44.8               2.301        3.83       10.01      -4.726     -0.1242      -1.328    -0.09745
45                 2.187       3.894       9.964      -4.645      -0.159      -1.266    -0.09453
45.2               2.533       3.946        9.92      -4.583       -0.12       -1.27    -0.09919
45.4               2.464       4.003       9.876      -4.509     -0.1514      -1.213    -0.08567
45.6                2.65       4.126       9.833      -4.435      -0.131      -1.141    -0.08139
45.8               2.798       4.051        9.79      -4.399      -0.153      -1.187     -0.0821
46                 2.762       4.094       9.747      -4.273     -0.2236      -1.156    -0.06552
46.2               2.818       4.148       9.705      -4.207     -0.2376      -1.113     -0.0665
46.4               3.029       4.196       9.663      -4.132     -0.2292      -1.105    -0.07171
46.6               3.193       4.345       9.622      -4.043     -0.2061      -1.028    -0.06214
46.8               3.168       4.266       9.581       -4.08     -0.1883      -1.046    -0.06912
