# Multipolar energy analysis (kT)
# r/AA             exact       total      ionion      iondip      dipdip     ionquad     mucorr
40.4               10.61       11.12       11.09    -0.04055     0.03315     0.04056       0.482
40.6               10.17       10.38       11.03      -0.631     0.03639    -0.05405     -0.4099
40.8               9.757        10.2       10.99     -0.7264    0.002781    -0.06469    -0.05856
41                 10.18       10.48       10.94      -0.492     0.01427     0.01818    -0.09073
41.2               10.13       10.44       10.88     -0.4577     0.01932   -0.003105    -0.02984
41.4               10.15       10.43       10.83     -0.3817     0.01072     -0.0245     -0.0419
41.6                10.1       10.38       10.78     -0.3945    0.003753   -0.003885    -0.04356
41.8               10.07       10.31       10.72     -0.4194    0.004945   -0.005081     -0.0326
42                 10.06        10.3       10.67     -0.3627    0.003247    -0.01441   -0.009538
42.2               10.05       10.28       10.62     -0.3304    0.001777    -0.01485    -0.01961
42.4               10.06       10.25       10.57     -0.3213    0.004114    -0.01055    -0.01568
42.6               10.05       10.24       10.52     -0.2753   0.0003772    -0.01249    -0.02202
42.8               10.02        10.2       10.47     -0.2676    0.002953    -0.01106    -0.01418
43                 9.974       10.15       10.43     -0.2603  -1.876e-05    -0.01727    0.007556
43.2               9.952       10.11       10.38     -0.2627    0.001276    -0.01079    -0.01502
43.4               9.935       10.08       10.33     -0.2379   0.0001051    -0.01113     -0.0171
43.6               9.918       10.04       10.28     -0.2339   -0.000172    -0.01067    -0.01102
43.8               9.909       10.02       10.24      -0.203   0.0002945   -0.008686    0.001516
44                 9.872        9.97       10.19     -0.2091  -0.0001978    -0.01044   -0.006276
44.2               9.839       9.929       10.14     -0.2064  -7.447e-05   -0.008848   -0.009072
44.4               9.827         9.9        10.1     -0.1885  -0.0006869   -0.008914     0.00111
44.6               9.792       9.857       10.05     -0.1871   -7.41e-05   -0.008852   -0.006745
44.8                9.77       9.823       10.01     -0.1772    0.000185   -0.007776   -0.006424
45                 9.732       9.781       9.964      -0.174  -0.0005285   -0.008396   -0.003866
45.2               9.693       9.733       9.919     -0.1763  -0.0003175   -0.009864    -0.01138
45.4                9.67       9.708       9.876     -0.1617   0.0003474   -0.006543   -0.000852
45.6               9.637       9.667       9.832     -0.1573   0.0002236   -0.007775   -0.004237
45.8               9.608       9.636       9.789     -0.1443   -0.001277    -0.00804   -0.007589
46                 9.575       9.601       9.747     -0.1396   7.689e-05   -0.006858   -0.006786
46.2                9.54       9.561       9.705     -0.1377   0.0003732   -0.006439   -0.003103
46.4               9.491       9.513       9.663      -0.143  -0.0005211   -0.007001     0.01147
46.6               9.476       9.495       9.621     -0.1201  -0.0007739   -0.005113    0.004462
46.8               9.433        9.45       9.581     -0.1252   9.339e-05   -0.005068   -0.003681
47                 9.406       9.421        9.54     -0.1137  -0.0008214   -0.004032   -0.002616
47.2               9.369       9.383       9.499     -0.1107  -0.0006151   -0.005441   0.0005793
47.4               9.326       9.338       9.459     -0.1163  -0.0004516   -0.004239    0.001946
47.6               9.299       9.313       9.419     -0.1022  -0.0003692   -0.004278   -0.001485
47.8               9.266       9.274        9.38      -0.103   0.0004657   -0.003242   -0.004526
48                 9.221        9.23       9.341     -0.1052  -0.0002952    -0.00523    0.008103
48.2               9.196       9.204       9.302    -0.09439  -4.409e-05   -0.003348  -0.0001799
48.4               9.165       9.172       9.264    -0.08825   0.0002197   -0.003897   -0.002068
48.6               9.134       9.141       9.226     -0.0802  -8.512e-05   -0.003925    0.006972
48.8               9.091       9.098       9.188    -0.08513  -0.0008154    -0.00341   -0.006723
49                 9.073       9.079        9.15    -0.06837   0.0002009   -0.002966    0.000979
49.2               9.026       9.031       9.113    -0.07849   0.0006183   -0.003897    -0.01018
49.4               8.999       9.005       9.076    -0.06711  -0.0007071   -0.003189    0.000842
49.6               8.962       8.966        9.04    -0.07002  -0.0006391   -0.002977    0.004373
49.8               8.926       8.931       9.003    -0.06913  -0.0006145   -0.002288    0.005854
50                 8.894       8.898       8.967    -0.06657  -0.0002329   -0.002304   0.0007411
50.2               8.857        8.86       8.932    -0.06965   0.0004402   -0.002464    0.004823
50.4               8.825       8.829       8.896    -0.06274   -0.001023   -0.003453    0.008512
50.6               8.795       8.797       8.861    -0.06129   6.368e-05   -0.002389   -0.005386
50.8               8.758       8.761       8.826    -0.06189  -0.0002864   -0.002747    0.006232
51                 8.729       8.731       8.791     -0.0578  -0.0008339    -0.00218    0.007806
51.2               8.701       8.703       8.757    -0.05141  -0.0003135   -0.001909    0.004112
51.4               8.669       8.671       8.723    -0.04887  -0.0005297   -0.002449    0.001119
51.6               8.638        8.64       8.689     -0.0481   0.0001234  -0.0008223   0.0004466
51.8               8.609       8.611       8.656    -0.04242  -0.0004318   -0.002283     0.01084
52                 8.573       8.575       8.622    -0.04615  -0.0001615   -0.001352     0.00299
52.2               8.541       8.543       8.589    -0.04483  -0.0003855   -0.001007     0.01291
52.4               8.511       8.513       8.556    -0.04173  -8.986e-05   -0.001757     0.00119
52.6               8.483       8.485       8.524    -0.03652  -0.0001819   -0.001876    0.001446
52.8               8.454       8.456       8.492    -0.03567  -0.0004246  -0.0001057   0.0003836
53                 8.419        8.42        8.46    -0.03787  -0.0005725   -0.001852    0.005092
53.2               8.389       8.391       8.428    -0.03613  -0.0003165  -0.0005935   0.0005581
53.4               8.359        8.36       8.396    -0.03449   7.418e-05   -0.001705    0.004544
53.6               8.328        8.33       8.365    -0.03375  -0.0003022   -0.001104    0.002479
