# Multipolar energy analysis (kT)
# r/AA             exact       total      ionion      iondip      dipdip     ionquad     mucorr
51.2               6.002       6.002       8.757      -2.082     -0.6734   8.806e-14    -0.01003
51.4               6.008       6.008       8.723      -2.059     -0.6556   9.461e-14   -0.005512
51.6               6.038       6.038       8.689      -1.996      -0.655   9.655e-14     0.00532
51.8               6.025       6.025       8.656      -2.005     -0.6254   8.889e-14   -0.005016
52                 6.029        6.03       8.622      -1.991      -0.602    8.94e-14    -0.00527
52.2               6.025       6.025       8.589       -1.97     -0.5945   8.773e-14   -0.006472
52.4               6.045       6.046       8.556      -1.924     -0.5865   7.499e-14   -0.004716
52.6               6.028       6.028       8.524      -1.931      -0.565   8.763e-14   -0.004897
52.8               6.037       6.038       8.492      -1.897     -0.5573   8.282e-14   -0.006598
53                 6.049       6.049        8.46      -1.873     -0.5383   7.068e-14   -0.007597
53.2               6.042       6.042       8.428      -1.847     -0.5394   7.364e-14   -0.009509
53.4               6.044       6.044       8.396      -1.835     -0.5167   7.506e-14   -0.006919
53.6                6.05        6.05       8.365      -1.826     -0.4894   7.526e-14   -0.005426
53.8               6.049       6.049       8.334      -1.791     -0.4938   6.839e-14   -0.004452
54                 6.074       6.074       8.303      -1.762     -0.4677   7.085e-14   0.0009394
54.2               6.054       6.054       8.272      -1.746     -0.4725   6.601e-14   -0.004192
54.4               6.069       6.069       8.242      -1.701     -0.4717   6.739e-14    0.004223
54.6               6.058       6.058       8.212       -1.71     -0.4446   6.316e-14   -0.007274
54.8               6.065       6.066       8.182      -1.673      -0.443   5.984e-14   -0.006431
55                 6.054       6.055       8.152      -1.669     -0.4285   5.757e-14   -0.006993
55.2               6.075       6.075       8.123      -1.628     -0.4201   5.926e-14   -0.003202
55.4               6.053       6.053       8.093      -1.616     -0.4245   5.106e-14   -0.004273
55.6               6.049       6.049       8.064      -1.614     -0.4005    5.75e-14    -0.01017
55.8               6.054       6.054       8.035      -1.583     -0.3985   5.556e-14   -0.001595
56                 6.068       6.068       8.006       -1.55     -0.3887   4.995e-14   -0.003278
56.2               6.047       6.047       7.978      -1.552     -0.3789    4.88e-14  -0.0002276
56.4               6.071       6.071        7.95      -1.515     -0.3632   4.433e-14   -0.004607
56.6               6.063       6.063       7.922      -1.495     -0.3636   5.344e-14   -0.001909
56.8               6.056       6.056       7.894       -1.47     -0.3683   4.595e-14    -0.00369
57                 6.056       6.056       7.866      -1.449     -0.3608   4.255e-14   -0.001673
57.2               6.045       6.045       7.839      -1.461     -0.3333   4.342e-14    -0.00404
57.4                6.06        6.06       7.811      -1.414     -0.3373   4.952e-14    0.008095
57.6               6.056       6.056       7.784      -1.396     -0.3319   3.603e-14   -0.001828
57.8                6.05        6.05       7.757      -1.396     -0.3112   4.172e-14   -0.007032
58                 6.046       6.046        7.73      -1.366     -0.3185   4.167e-14   -0.000268
58.2                6.05        6.05       7.704      -1.355     -0.2991   3.597e-14   -0.005052
58.4               6.041       6.041       7.678       -1.34     -0.2963   3.763e-14   0.0008546
58.6               6.048       6.048       7.651      -1.306     -0.2971   3.516e-14   0.0001647
58.8               6.043       6.043       7.625      -1.304     -0.2783   3.464e-14   -0.002953
59                 6.043       6.043       7.599      -1.276     -0.2796   3.602e-14    0.003364
59.2               6.038       6.038       7.574      -1.255     -0.2799   3.596e-14  -0.0002804
59.4                6.03        6.03       7.548      -1.252     -0.2664   3.466e-14    0.003955
59.6               6.031       6.031       7.523      -1.225     -0.2666   3.461e-14  -0.0005673
59.8               6.019       6.019       7.498      -1.211     -0.2675   2.989e-14    0.002947
60                 6.008       6.008       7.473      -1.213     -0.2517   2.816e-14   -0.003564
60.2               6.027       6.027       7.448      -1.164     -0.2569   3.067e-14   0.0006855
60.4               6.026       6.026       7.423      -1.153     -0.2448   3.016e-14   -0.002853
60.6               6.038       6.038       7.399      -1.119     -0.2423   2.401e-14    0.004193
60.8               6.027       6.027       7.374       -1.11     -0.2367   2.884e-14    0.006792
61                 6.016       6.016        7.35      -1.111     -0.2234   2.191e-14    0.002714
61.2               5.997       5.997       7.326      -1.096     -0.2331   2.479e-14    0.001603
61.4               5.982       5.982       7.302      -1.097     -0.2231   2.166e-14   0.0007761
61.6                5.97        5.97       7.279      -1.086     -0.2224   2.026e-14  -0.0003835
61.8               5.984       5.984       7.255      -1.055     -0.2162   2.695e-14    0.004757
62                 5.987       5.987       7.232      -1.033     -0.2122   2.428e-14    0.001499
62.2               5.992       5.992       7.208      -1.013     -0.2034   2.257e-14    0.002199
62.4               5.969       5.969       7.185      -1.011     -0.2054   1.668e-14    0.002123
62.6                5.98        5.98       7.162     -0.9785     -0.2041   1.911e-14     0.01196
62.8               5.981       5.981        7.14     -0.9681     -0.1901   1.893e-14    0.005538
63                 5.946       5.946       7.117      -0.978     -0.1929    2.04e-14    0.007949
63.2               5.965       5.965       7.094     -0.9405     -0.1889   2.007e-14    0.005172
63.4               5.959       5.959       7.072     -0.9335     -0.1794   1.822e-14    0.007806
63.6               5.928       5.928        7.05     -0.9379     -0.1839   1.677e-14    0.002638
63.8               5.952       5.952       7.028     -0.8963     -0.1793   1.484e-14    0.005292
64                 5.945       5.945       7.006     -0.8855     -0.1753   1.439e-14    0.004182
64.2               5.926       5.926       6.984       -0.89     -0.1677   1.747e-14     0.00505
64.4               5.912       5.912       6.962     -0.8778     -0.1725   1.733e-14    0.002668
64.6               5.915       5.915       6.941     -0.8625     -0.1634   1.763e-14    0.006394
64.8               5.907       5.907       6.919     -0.8546     -0.1573    1.88e-14    0.009438
65                 5.907       5.907       6.898     -0.8396      -0.151   1.436e-14    0.003056
